"Add New Template","Додајте нови шаблон"
"Load default template","Учитај подразумевани шаблон"
"Template","Шаблон"
"Are you sure you want to strip tags?","Јесте ли сигурни да желите да скинете ознаке?"
"Are you sure you want to delete this template?","Јесте ли сигурни да желите да обришете овај предложак?"
"The template did not load. Please review the log for details.","Шаблон није учитан. Молимо проверите извештај за детаље."
"Footer","Подножје странице"
"Thank you, %store_name","Хвала, %сторе_наме"
"Header","Заглавље"
"Communications","Комуникације"
"No Templates Found","Шаблони нису пронађени"
"ID","ИД"
"Added","Додато"
"Updated","Ажуриран"
"Subject","Предмет"
"Template Type","Тип шаблона"
"Action","Акција"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
"Logo Image","Лого Слика"
"Logo Image Alt","Алт Лого Слике"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Неопходно само ако је слика изнад учитана. Упишите број пиxела, без уписивања ""пx""."
"Logo Width","Ширина Лого"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Неопходно ако је слика ућитана изнад. Унесите висину слике у пиxелима без уписивања ""пx""."
"Logo Height","Висина Лого"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Шалон е-поште је изабран на основу теме, када је изабрана опција „Задата вредност”."
"Header Template","Заглавље Шаблона"
"Footer Template","Подножје Шаблона"
"We're sorry, an error has occurred while generating this email.","We're sorry, an error has occurred while generating this email."
"Emails","Емаил"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Потребно само ако је слика отпремљена изнад. Унесите број пиксела, без додавања ""пx""."
"Email template chosen based on theme fallback when ""Default"" option is selected.","Шаблон мејла се бира на основу теме када је изабрана опција ""Подразумевано""."
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>"
"The design config needs an area and a store. Verify that both are set and try again.","Конфигурација дизајна треба површину и продавницу. Проверите да ли су оба подешена и покушајте поново."
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Да оптимизујете лого за екране високе резолуције, учитајте слику која је 3 пута веће од нормалне величини и затим дефинишите 1x димензију за ширину и висину у пољу испод."
