"Manage Shopping Cart","શોપિંગ કાર્ટ મેનેજ કરો"
"Only %1%2%3 left in stock","જથ્થોમાં ફક્ત %1 %2 %3 બાકી"
"You can buy up to %1 of these per purchase.","તમે આ ખરીદીમાંથી %1 સુધી ખરીદી શકો છો."
"You must buy at least %1 of these per purchase.","તમારે આ ખરીદીમાંથી ઓછામાં ઓછા %1 ખરીદવું આવશ્યક છે."
"Specify the product's options.","ઉત્પાદનના વિકલ્પો સ્પષ્ટ કરો."
"Alert me when this item is available.","જ્યારે આ આઇટમ ઉપલબ્ધ છે ત્યારે મને ચેતવણી આપો."
"We can't find this customer.","We can't find this customer."
"Shopping cart management is disabled for this customer.","શોપિંગ કાર્ટ મેનેજમેન્ટ આ ગ્રાહક માટે અક્ષમ છે."
"We can't find this store.","We can't find this store."
"Customers","ગ્રાહકો"
"Shopping Cart","શોપિંગ કાર્ટ"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","તમારી પાસે આની પ્રવેશ નથી."
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","એક ભૂલ આવી. વિગતો માટે ભૂલ લોગ જુઓ."
"You cannot configure a product.","તમે કોઈ ઉત્પાદનને ગોઠવી શકતા નથી."
"You removed the items.","તમે વસ્તુઓ કાઢી નાખી."
"You removed the item.","તમે વસ્તુ કાઢી નાખી."
"You added %1 to your shopping cart.","તમે તમારી શોપિંગ કાર્ટમાં %1 ઉમેર્યા."
"You cannot add a product.","તમે કોઈ ઉત્પાદન ઉમેરી શકતા નથી."
"Order by SKU","એસકેયુ દ્વારા ઓર્ડર"
"The SKU was not found in the catalog.","સૂચિમાં એસકેયુ મળી નથી."
"Availability: Out of stock.","ઉપલબ્ધતા: સ્ટોકની બહાર."
"We don't have as many of these as you want.","તમને જોઈએ તેટલું આમાં અમારી પાસે નથી."
"You can't add this many to your cart.","તમે આને તમારા કાર્ટમાં ઉમેરી શકતા નથી."
"You need to choose options for your item.","તમારે તમારી વસ્તુ માટે વિકલ્પો પસંદ કરવાની જરૂર છે."
"We can't add the item to your cart.","અમે તમારા કાર્ટમાં વસ્તુ ઉમેરી શકતા નથી."
"Please enter an actual number in the ""Qty"" field.","કૃપા કરીને ""ક્વોલિટી"" ક્ષેત્રમાં વાસ્તવિક સંખ્યા દાખલ કરો."
"This product is assigned to another website.","આ ઉત્પાદન બીજી વેબસાઇટ પર સોંપવામાં આવે છે."
"You can add only enabled products.","તમે ફક્ત સક્ષમ ઉત્પાદનો ઉમેરી શકો છો."
"You cannot upload this file.","તમે આ ફાઇલ અપલોડ કરી શકતા નથી."
"The file is empty.","ફાઇલ ખાલી છે."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","તમે કોઈ ઉત્પાદન SKU દાખલ કર્યો નથી. કૃપા કરીને SKU દ્વારા ઉત્પાદન (્સ) ઉમેરવા માટે <a href=""%1""> અહીં ક્લિક કરો </a>."
"You have not entered a product SKU.","તમે કોઈ ઉત્પાદન SKU દાખલ કર્યો નથી."
"We can't add a product to cart by id ""%1"".","અમે id ""%1"" દ્વારા કાર્ટમાં કોઈ ઉત્પાદન ઉમેરી શકતા નથી."
"Something went wrong while reordering this product.","આ ઉત્પાદનને ફરીથી ગોઠવવામાં કંઈક ખોટું થયું."
"We can't find this wish list.","અમે આ ઇચ્છા સૂચિ શોધી શકતા નથી."
"You added %1 product to your shopping cart.","તમે તમારા શોપિંગ કાર્ટ પર %1 ઉત્પાદન ઉમેર્યું."
"You added %1 products to your shopping cart.","તમે તમારા શોપિંગ કાર્ટમાં %1 ઉત્પાદનો ઉમેર્યા છે."
"%1 product requires your attention.","%1 ઉત્પાદનને તમારું ધ્યાન જરૂરી છે."
"%1 products require your attention.","%1 ઉત્પાદનોને તમારા ધ્યાનની જરૂર છે."
"Yes, for Specified Customer Groups","હા, ઉલ્લેખિત ગ્રાહક જૂથો માટે"
"Yes, for Everyone","હા, દરેક માટે"
"No","ના"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.","કૃપા કરીને ફાઇલ .csv ફોર્મેટમાં અપલોડ કરો."
"%1 item(s) need your attention.","%1 આઇટમ (ઓ) ને તમારું ધ્યાન આપવાની જરૂર છે."
"Apply Coupon Code","કૂપન કોડ લાગુ કરો"
"Remove Coupon Code","કૂપન કોડ દૂર કરો"
"Remove","દૂર કરો"
"The coupon code ""%1"" is not valid.","કૂપન કોડ ""%1"" માન્ય નથી."
"Shopping Cart Items","શોપિંગ કાર્ટ વસ્તુઓ"
"Qty","Qty"
"Subtotal","પેટાસરવાળો"
"Discount","છૂટ"
"Row Subtotal","પંક્તિ પેટાસરવાળો"
"Action","ક્રિયા"
"No ordered items","કોઈ આદેશ આપ્યો વસ્તુઓ"
"Total %1 product(s)","કુલ %1 ઉત્પાદન (ઓ)"
"Subtotal:","પેટાસરવાળો:"
"Please select","કૃપા કરી પસંદ કરો"
"Move to Wish List","વિશસૂચિમાં ખસેડો"
"No item specified.","કોઈ આઇટમ ઉલ્લેખિત નથી."
"Are you sure you want to remove this item?","શું તમે ખરેખર આ આઇટમને દૂર કરવા માંગો છો?"
"SKU number","એસકેયુ નંબર"
"Upload File","ફાઈલ અપલોડ કરો"
"Your csv file must include ""sku"" and ""qty"" columns.","તમારી સીએસવી ફાઇલમાં ""sku"" અને ""qty"" કૉલમ્સ શામેલ હોવા આવશ્યક છે."
"Reset","ફરીથી સેટ કરો"
"SKU: ","એસકેયુ: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","સ્ટોકમાં માત્ર <span id = ""%1_max_allowed"">%2 </ span>"
"Item","વસ્તુ"
"See price before order confirmation.","ઓર્ડર પુષ્ટિ પહેલાં ભાવ જુઓ."
"What's this?","આ શું છે?"
"Incl. Tax","Incl. Tax"
"Excl. Tax","કર બાકાત કરીને"
"Edit item parameters","આઇટમ પરિમાણો ફેરફાર કરો"
"Edit","સંપાદિત કરો"
"Remove item","વસ્તુ દૂર કરો"
"Products Requiring Attention","ધ્યાન જરૂરી વસ્તુઓ"
"Add to Cart","Add to Cart"
"Sku","Sku"
"File","File"
"File extensions allowed: .csv","File extensions allowed: .csv"
"Add Row","Add Row"
"Remove Row","Remove Row"
"Add Products By SKU","Add Products By SKU"
"Shopping Cart Management","Shopping Cart Management"
"View Shopping Cart","View Shopping Cart"
"View and modify Shopping Cart","View and modify Shopping Cart"
"Order by SKU Settings","Order by SKU Settings"
"Enable Order by SKU on My Account in Storefront","Enable Order by SKU on My Account in Storefront"
"Customer Groups","ગ્રાહક જૂથ"
"Apply Coupon","Apply Coupon"
"Order by SKU Description","Order by SKU Description"
"Display a Link to Loading a Spreadsheet","Display a Link to Loading a Spreadsheet"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget"
"Link Text","Link Text"
"The text of the link to the My Account &gt; Order by SKU page","The text of the link to the My Account &gt; Order by SKU page"
"Load a list of SKUs","Load a list of SKUs"
"Order by SKU Template","Order by SKU Template"
"SKU not found in catalog.","SKU not found in catalog."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"This customer couldn't be found. Verify the customer and try again.","This customer couldn't be found. Verify the customer and try again."
"This store couldn't be found. Verify the store and try again.","This store couldn't be found. Verify the store and try again."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again."
"The ordered item needs to be loaded. Load the item and try again.","The ordered item needs to be loaded. Load the item and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The wish list item ID needs to be received. Set the ID and try again.","The wish list item ID needs to be received. Set the ID and try again."
"The wish list item needs to be loaded. Load the item and try again.","The wish list item needs to be loaded. Load the item and try again."
"The file is corrupt and can't be used.","The file is corrupt and can't be used."
