"Wish List","Wishlist"
"View all Wish List items","הצגת את כל פרטי המועדפים"
"Wish List Section","מקטע המועדפים"
"Share Options","אפשרויות שיתוף"
"Email Sender","שולח דוא""ל"
"Email Template","תבנית דואר אלקטרוני"
"Email template chosen based on theme fallback when ""Default"" option is selected.","תבנית המייל הנבחר בהתבסס על ירושת התבנית כשבוחרים באפשרות ""ברירת מחדל""."
"Max Emails Allowed to be Sent","מקסימום מיילים מותרים לשילוח"
"Email Text Length Limit","מגבלת אורך הטקסט לדוא""ל"
"General Options","אפשרויות כלליות"
"Enabled","פעיל"
"My Wish List Link","קישור ל Wish List שלי"
"Display Wish List Summary","תצוגת סיכום למועדפים"
"Enable RSS","אפשר RSS"
"No Items Found","אין פריטים שנמצאו"
"Product Name","שם מוצר"
"User Description","תיאור משתמש"
"Quantity","כמות"
"Add Locale","הוסף אזור"
"Add Date","הוספת תאריך"
"Days in Wish List","ימים במועדפים"
"Action","פעולה"
"Configure","הגדר"
"Delete","מחק"
"Product Details and Comment","פרטי המוצר והערה"
"Add To Wishlist","Add To Wishlist"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"10 by default. Max - 10000","10 כברירת מחדל. מקסימלי - 10000"
"255 by default","255 by default"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"The cart item doesn't exist.","The cart item doesn't exist."
"You must login or register to add items to your wishlist.","You must login or register to add items to your wishlist."
"Show in Sidebar","Show in Sidebar"
