"Wish List","Lista de deseos"
"We cannot retrieve the Wish List.","No podemos recuperar la lista de deseos."
"%1's Wishlist","Lista de regalo de %1"
"We can't specify a wish list item.","No podemos especificar un elemento de la lista de deseos."
"The product does not exist.","El producto no existe."
"Test Phrase","Frase de prueba"
"message","mensaje"
"Message","Mensaje"
"error-message","error-message"
"LocalizedException","LocalizedException"
"Product Exception.","Excepción de producto."
"Localized Exception.","Excepción localizada."
"Are you sure you want to remove this item?","¿Está seguro que desea eliminar este artículo?"
"Special Price","Precio especial"
"Regular Price","Precio habitual"
"Share Wish List","Compartir favoritos"
"Add All to Cart","Añadir todo al carrito"
"Update Wish List","Actualizar favoritos"
"Move to Wishlist","A la lista de deseos"
"Add to Wish List","Añadir a la Lista de Deseos"
"View Product","Vista del artículo"
"Qty","Cantidad"
"Add to Cart","Añadir al carrito"
"Availability","Disponibilidad"
"In stock","Disponible"
"Out of stock","No está disponible"
"Edit","Editar"
"Remove Item","Eliminar elemento"
"Remove item","Quitar artículo"
"Add to Compare","Añadir para comparar"
"This Wish List has no Items","Los favoritos no tienen artículos"
"%1 has been added to your Wish List.","%1 se ha agregado a su lista de deseos."
"Click <a href=""%1"">here</a> to continue shopping.","Haga clic <a href=""%1""> aquí</a> para continuar comprando."
"See Details","Ver información"
"Options Details","Detalles de las opciones"
"RSS link to %1's wishlist","Enlace RSS a la lista de deseos de %1"
"RSS Feed","Fuente RSS"
"Product","Producto"
"Back","Atrás"
"Wish List is empty now.","Su favoritos están vacíos."
"* Required Fields","* Campos obligatorios"
"Sharing Information","Compartiendo información"
"Email addresses, separated by commas","Direcciones de correo electrónico, separadas por comas"
"Check here to link an RSS feed to your Wish List.","Marque aquí vincular un RSS feed a tu lista de deseos."
"Last Added Items","Últimos elementos añadidos"
"Remove This Item","Eliminar este artículo"
"Go to Wish List","Ir a lista de deseos"
"You have no items in your wish list.","No tiene ningún elemento en su lista de deseos."
"Take a look at %customer_name's Wish List","Echa un vistazo a la lista de deseos de %customer_name"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name quiere compartir esta lista de %store_name :"
"Message from %customer_name:","Mensaje de %customer_name:"
"View all Wish List items","Ver todos los elementos de lista de deseos"
"Wish List Section","Sección de lista de deseos"
"Share Options","Opciones para compartir"
"Email Sender","Remitente de correo electrónico"
"Email Template","Plantilla de email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Max Emails Allowed to be Sent","Máxima cantidad de correos que se permite enviar"
"Email Text Length Limit","Límite de longitud de texto de correo electrónico"
"General Options","Opciones generales"
"Enabled","Habilitado"
"My Wish List Link","Enlace de mi lista de deseos"
"Display Wish List Summary","Mostrar Resumen de lista de deseos"
"Enable RSS","Activar RSS"
"No Items Found","No se encontraron artículos"
"Product Name","Nombre del producto"
"User Description","Descripción del usuario"
"Quantity","Cantidad"
"Add Locale","Agregar configuración regional"
"Add Date","Añadir fecha"
"Days in Wish List","Días en favoritos"
"Action","Acción"
"Configure","Configurar"
"Delete","Borrar"
"Product Details and Comment","Detalles del artículo y comentarios"
"Add To Wishlist","Añadir a la lista de deseos"
"Are you sure you want to remove this product from your Wish List?","¿Está seguro que desea retirar este artículo de su lista de deseos?"
"%1 has been removed from your Wish List.","%1 se ha eliminado de tu Lista de Deseos."
"10 by default. Max - 10000","10 predeterminado. Max - 10000"
"255 by default","255 por defecto"
"The Wish List item can't load at this time. Please try again later.","El elemento de la Lista de deseos no se puede cargar en este momento. Por favor, inténtelo de nuevo más tarde."
"The cart item doesn't exist.","El artículo del carrito no existe."
"You must login or register to add items to your wishlist.","Debes iniciar sesión o registrarte para agregar elementos a tu lista de deseos."
"Show in Sidebar","Mostrar en la barra lateral"
