"Default Config","Конфигурации по умолчанию"
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","The sender name ""%1"" is not valid. Please use only visible characters and spaces."
"Maximum sender name length is 255. Please correct your settings.","Maximum sender name length is 255. Please correct your settings."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Файл, который вы загружаете превышает предельный размер на %1 килобайт."
"The base directory to upload file is not specified.","The base directory to upload file is not specified."
"The specified image adapter cannot be used because of: %1","The specified image adapter cannot be used because of: %1"
"Default scope","Default scope"
"Base currency","Базовая валюта"
"Display default currency","Display default currency"
"website(%1) scope","website(%1) scope"
"store(%1) scope","store(%1) scope"
"Currency ""%1"" is used as %2 in %3.","Currency ""%1"" is used as %2 in %3."
"Please correct the timezone.","Please correct the timezone."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
"The ""%1"" path does not exist","The ""%1"" path does not exist"
"Always (during development)","Always (during development)"
"Only Once (version upgrade)","Only Once (version upgrade)"
"Never (production)","Never (production)"
"Bcc","Bcc"
"Separate Email","Separate Email"
"%1 (Default)","%1 (Default)"
"title","название"
"No","Нет"
"Optional","Опционально"
"Required","Необходимо"
"Website","Веб-сайт"
"Store","Магазин"
"Store View","Представление магазина"
"HTTP (unsecure)","HTTP (небезопасно)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Yes (302 Found)"
"Yes (301 Moved Permanently)","Yes (301 Moved Permanently)"
"Yes","Да"
"Specified","Specified"
"Visible section not found.","Visible section not found."
"Config form fieldset clone model required to be able to clone fields","Config form fieldset clone model required to be able to clone fields"
"%1: Instance of %2 is expected, got %3 instead","%1: Instance of %2 is expected, got %3 instead"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"'There is no defined type ' .","'There is no defined type ' ."
"'Object is not instance of ' .","'Object is not instance of ' ."
"Filesystem is not writable.","Filesystem is not writable."
"Some error","Некоторая ошибка"
"Some message","Некоторое сообщение"
"You cannot run this command because the Magento application is not installed.","You cannot run this command because the Magento application is not installed."
"This command is unavailable right now.","Эта команда недоступна прямо сейчас."
"The ""test/test/test"" path does not exists","The ""test/test/test"" path does not exists"
"error message","сообщение об ошибке"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","некоторый префикс"
"element label","element label"
"element hint","element hint"
"element comment","element comment"
"element tooltip","element tooltip"
"test","тест"
"test2","test2"
"Add after","Добавить после"
"Delete","Удалить"
"Current Configuration Scope:","Current Configuration Scope:"
"Stores","Магазины"
"Group Label","Group Label"
"Some Label","Some Label"
"Tab Label","Tab Label"
"Allow everything","Разрешить все"
"Magento Admin","Magento Admin"
"Dashboard","Панель управления"
"Manage Stores","Управление магазинами"
"Field 2","Поле 2"
"Field 3","Поле 3"
"Field 3.1","Поле 3.1"
"Field 3.1.1","Поле 3.1.1"
"Field 4","Поле 4"
"Advanced Section","Расширенный раздел"
"Advanced Admin Section","Расширенный раздел администрирования"
"Design Section","Раздел Дизайна"
"General Section","Общий раздел"
"System Section","Раздел системы"
"Currency Setup Section","Раздел настройки валюты"
"Developer Section","Раздел для разработчиков"
"Web Section","Вэб секция"
"Store Email Addresses Section","Store Email Addresses Section"
"Email to a Friend","Письмо другу"
"Action","Действие"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter cannot be used because of: ' ."
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The ""%1"" email address is incorrect. Verify the email address and try again.","The ""%1"" email address is incorrect. Verify the email address and try again."
"The time zone is incorrect. Verify the time zone and try again.","The time zone is incorrect. Verify the time zone and try again."
"The ""%1"" file doesn't exist.","The ""%1"" file doesn't exist."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
